,ano_semestre,ano,semestre,avg_valor_item,id_pais_origem,ncm,importador_municipio,importador_uf,urf,ano_x,semestre_x,ano_y,semestre_y
0,201801.0,2018,1,0.767083319524924,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
1,201901.0,2019,1,0.772222207652198,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
2,202201.0,2022,1,0.20800000000000002,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
3,202202.0,2022,2,0.504388541675,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
4,202301.0,2023,1,0.7741677333333333,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
5,202302.0,2023,2,0.7726416667,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
6,202401.0,2024,1,0.5499078289821142,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
7,202402.0,2024,2,0.5496139205633881,ARGENTINA,3.3071E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
8,201801.0,2018,1,0.6915232841047674,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
9,201802.0,2018,2,0.7191287899365673,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
10,201901.0,2019,1,0.7039673559649007,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
11,201902.0,2019,2,0.699999988079071,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
12,202001.0,2020,1,0.6666666467984518,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
13,202401.0,2024,1,0.6078058839114462,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
14,202402.0,2024,2,0.6076356542558159,ARGENTINA,3.307201E7,SAO PAULO,SP,ALF - URUGUAIANA,,,,
15,201801.0,2018,1,0.5750000029802322,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
16,201802.0,2018,2,0.47599226772364317,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
17,201901.0,2019,1,0.5442320395142656,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
18,201902.0,2019,2,5.637383298480873,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
19,202001.0,2020,1,5.812572512184655,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
20,202002.0,2020,2,5.701482092095418,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
21,202101.0,2021,1,5.165591298167089,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
22,202102.0,2021,2,6.367615097576455,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
23,202201.0,2022,1,6.944083431725,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
24,202202.0,2022,2,6.979337745366666,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
25,202301.0,2023,1,6.245335999999999,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
26,202401.0,2024,1,9.358982663269671,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
27,202402.0,2024,2,9.37180322090353,ARGENTINA,3.307201E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
28,201802.0,2018,2,4.164999842643738,ARGENTINA,3.307209E7,VINHEDO,SP,IRF - SÃO BORJA,,,,
